Words (split by space),anger,disgust,fear,joy,sad,surprise
oil holds at,0,0,0,1,0,0
three found alive from missing russian ship report,0,0,0,1,0,0
confusion reigns in the expanding digital world,0,0,0,0,0,1
doomsday clock ticking away,0,0,1,0,0,0
italy drops sicily bridge plans,0,0,0,0,0,1
protest greets congestion charge s westward push,1,0,0,0,0,0
us airways boosts bid for delta,0,0,0,0,0,1
hurricane paul weakens to tropical storm,0,0,0,0,0,1
a familiar and prescient voice brought to life,0,0,0,1,0,0
male sweat boosts women s hormone levels,0,0,0,0,0,1
iran rejects us claims of supplying weapons in iraq,0,0,1,0,0,0
israel insists on lebanon overflights,1,0,0,0,0,0
gere cheers sex workers in aids fight,0,0,0,1,0,0
tv game shows go interactive,0,0,0,1,0,0
china detains after body parts found in mail,0,0,1,0,0,0
amish discuss shootings,0,0,0,0,1,0
anna nicole claimant a prince of a guy,0,0,0,0,0,1
jones faces europe meetings snub,0,0,0,0,1,0
models health guidelines will they help,0,0,0,0,0,1
s jack bauer returns,0,0,0,1,0,0
uk announces immigration restrictions,1,0,0,0,0,0
commodities lead europe higher,0,0,0,1,0,0
iran says sunnis using pakistan as base planned fatal bombing,0,0,1,0,0,0
asean talks end on energy security,0,0,0,1,0,0
norbit a waste of murphy,0,0,0,0,1,0
petraeus takes command in iraq,0,0,1,0,0,0
merck gardasil may fight more strains,0,0,0,1,0,0
anna nicole smith s body lies in legal limbo,0,0,0,0,1,0
terror officials see al qaeda chiefs regaining power,0,0,1,0,0,0
iran says it will strike us interests if attacked,0,0,1,0,0,0
ashton kutcher tells secret to ryan seacrest,0,0,0,0,0,1
women protest pakistan demolition,1,0,0,0,0,0
review ps pricey but impressive,0,0,0,1,0,0
j k rowling marks spot of potter s end,0,0,0,0,1,0
sudan tells united nations envoy to leave in hours,0,0,0,0,0,1
salmonella outbreak traced to peanut butter,0,0,1,0,0,0
allen and okur get all star call,0,0,0,1,0,0
taliban seize rural district in southwest as police flee,0,0,1,0,0,0
pc world editor slain at california home,0,0,0,0,1,0
israelis retaliate after attack by lebanese army,0,0,1,0,0,0
attack video saddens friendly fire widow,0,0,0,0,1,0
whether to save cord blood can be puzzle for parents,0,0,0,0,0,1
philippine anti terror law delayed until june,0,0,1,0,0,0
apple s dark secret the claim,0,0,0,0,0,1
spacewalker sets new u s record,0,0,0,1,0,0
france al qaeda suspects arrested,0,0,1,0,0,0
review nokia xpress music,0,0,0,1,0,0
sleep more to fight childhood obesity,0,0,0,0,0,1
dead after utah mall shooting rampage,0,0,0,0,1,0
german paper shows soldiers desecrating skull,0,1,0,0,0,0
japanese whaler afire in antarctic,0,0,0,0,1,0
jet flips in snowstorm none dead,0,0,0,1,0,0
teacher in hiding after attack on islam stirs threats,0,0,1,0,0,0
mistrial for officer who refused to go to iraq,0,0,0,0,1,0
rwanda mulling kid limit for families,0,0,0,1,0,0
man admits uk us terror bomb plot,0,0,1,0,0,0
deaths as bird flu flares in asia,0,0,1,0,0,0
uk characters boosting box office,0,0,0,1,0,0
moscow says palestine israeli contacts key to mideast peace,0,0,0,1,0,0
sony apologizes for battery recall,0,0,0,1,0,0
mass venezuela opposition rally,1,0,0,0,0,0
squirrel jumps boy in park rabies suspected,0,0,0,0,0,1
cohn gunman jailed for years,0,0,0,1,0,0
bill would strip convicted legislators of pensions,0,0,0,0,1,0
amish killings school demolished,0,0,0,0,1,0
flooding washes out road to valdez alaska,0,0,0,0,1,0
russian bird flu outbreak is deadly asian strain,0,0,1,0,0,0
bread heavy diet linked to kidney cancer,0,0,1,0,0,0
astronaut s arrest tests nasa s mettle,0,0,0,0,0,1
global sludge ends in tragedy for ivory coast,0,0,0,0,1,0
new york city may ban ipods while crossing street,0,0,0,0,0,1
latest food fad space potatoes,0,0,0,0,0,1
teacher s porn conviction sparks tech debate,0,1,0,0,0,0
french right nominates sarkozy,0,0,0,1,0,0
manila hints at ransom approval,0,0,0,0,1,0
italy s dispute with us over iraq shooting,1,0,0,0,0,0
palestinians say clashes hurt their cause,0,0,0,0,1,0
science panel calls global warming unequivocal,0,0,1,0,0,0
false alarm at canadian embassy in paris,0,0,1,0,0,0
human hair clue in hunt for airliner,0,0,0,0,0,1
thailand missing years after taking wrong bus,0,0,0,0,1,0
chrysler s valentine s day massacre,0,0,0,0,1,0
pediatricians say more cord blood is needed now,0,0,1,0,0,0
internet attacked did anyone notice,0,0,0,0,0,1
gronholm ahead as solberg crashes,0,0,0,1,0,0
nato afghanistan peace by,0,0,0,1,0,0
military officials add to u s criticism of iraq s government,0,0,0,1,0,0
